𪮘	U+2AB98 (U+2AB98)	f0aaae98
𪮙	U+2AB99 (U+2AB99)	f0aaae99
𪮚	U+2AB9A (U+2AB9A)	f0aaae9a
𪮛	U+2AB9B (U+2AB9B)	f0aaae9b
𪮜	U+2AB9C (U+2AB9C)	f0aaae9c
𪮝	U+2AB9D (U+2AB9D)	f0aaae9d
𪮞	U+2AB9E (U+2AB9E)	f0aaae9e
𪮟	U+2AB9F (U+2AB9F)	f0aaae9f
𪮠	U+2ABA0 (U+2ABA0)	f0aaaea0
𪮡	U+2ABA1 (U+2ABA1)	f0aaaea1
𪮢	U+2ABA2 (U+2ABA2)	f0aaaea2
𪮣	U+2ABA3 (U+2ABA3)	f0aaaea3
𪮤	U+2ABA4 (U+2ABA4)	f0aaaea4
𪮥	U+2ABA5 (U+2ABA5)	f0aaaea5
𪮦	U+2ABA6 (U+2ABA6)	f0aaaea6
𪮧	U+2ABA7 (U+2ABA7)	f0aaaea7
𪮨	U+2ABA8 (U+2ABA8)	f0aaaea8
𪮩	U+2ABA9 (U+2ABA9)	f0aaaea9
𪮪	U+2ABAA (U+2ABAA)	f0aaaeaa
𪮫	U+2ABAB (U+2ABAB)	f0aaaeab
𪮬	U+2ABAC (U+2ABAC)	f0aaaeac
𪮭	U+2ABAD (U+2ABAD)	f0aaaead
𪮮	U+2ABAE (U+2ABAE)	f0aaaeae
𪮯	U+2ABAF (U+2ABAF)	f0aaaeaf
𪮰	U+2ABB0 (U+2ABB0)	f0aaaeb0
𪮱	U+2ABB1 (U+2ABB1)	f0aaaeb1
𪮲	U+2ABB2 (U+2ABB2)	f0aaaeb2
𪮳	U+2ABB3 (U+2ABB3)	f0aaaeb3
𪮴	U+2ABB4 (U+2ABB4)	f0aaaeb4
𪮵	U+2ABB5 (U+2ABB5)	f0aaaeb5
𪮶	U+2ABB6 (U+2ABB6)	f0aaaeb6
𪮷	U+2ABB7 (U+2ABB7)	f0aaaeb7
𪮸	U+2ABB8 (U+2ABB8)	f0aaaeb8
𪮹	U+2ABB9 (U+2ABB9)	f0aaaeb9
𪮺	U+2ABBA (U+2ABBA)	f0aaaeba
𪮻	U+2ABBB (U+2ABBB)	f0aaaebb
𪮼	U+2ABBC (U+2ABBC)	f0aaaebc
𪮽	U+2ABBD (U+2ABBD)	f0aaaebd
𪮾	U+2ABBE (U+2ABBE)	f0aaaebe
𪮿	U+2ABBF (U+2ABBF)	f0aaaebf
𪯀	U+2ABC0 (U+2ABC0)	f0aaaf80
𪯁	U+2ABC1 (U+2ABC1)	f0aaaf81
𪯂	U+2ABC2 (U+2ABC2)	f0aaaf82
𪯃	U+2ABC3 (U+2ABC3)	f0aaaf83
𪯄	U+2ABC4 (U+2ABC4)	f0aaaf84
𪯅	U+2ABC5 (U+2ABC5)	f0aaaf85
𪯆	U+2ABC6 (U+2ABC6)	f0aaaf86
𪯇	U+2ABC7 (U+2ABC7)	f0aaaf87
𪯈	U+2ABC8 (U+2ABC8)	f0aaaf88
𪯉	U+2ABC9 (U+2ABC9)	f0aaaf89
𪯊	U+2ABCA (U+2ABCA)	f0aaaf8a
𪯋	U+2ABCB (U+2ABCB)	f0aaaf8b
𪯌	U+2ABCC (U+2ABCC)	f0aaaf8c
𪯍	U+2ABCD (U+2ABCD)	f0aaaf8d
𪯎	U+2ABCE (U+2ABCE)	f0aaaf8e
𪯏	U+2ABCF (U+2ABCF)	f0aaaf8f
𪯐	U+2ABD0 (U+2ABD0)	f0aaaf90
𪯑	U+2ABD1 (U+2ABD1)	f0aaaf91
𪯒	U+2ABD2 (U+2ABD2)	f0aaaf92
𪯓	U+2ABD3 (U+2ABD3)	f0aaaf93
𪯔	U+2ABD4 (U+2ABD4)	f0aaaf94
𪯕	U+2ABD5 (U+2ABD5)	f0aaaf95
𪯖	U+2ABD6 (U+2ABD6)	f0aaaf96
𪯗	U+2ABD7 (U+2ABD7)	f0aaaf97
𪯘	U+2ABD8 (U+2ABD8)	f0aaaf98
𪯙	U+2ABD9 (U+2ABD9)	f0aaaf99
𪯚	U+2ABDA (U+2ABDA)	f0aaaf9a
𪯛	U+2ABDB (U+2ABDB)	f0aaaf9b
𪯜	U+2ABDC (U+2ABDC)	f0aaaf9c
𪯝	U+2ABDD (U+2ABDD)	f0aaaf9d
𪯞	U+2ABDE (U+2ABDE)	f0aaaf9e
𪯟	U+2ABDF (U+2ABDF)	f0aaaf9f
𪯠	U+2ABE0 (U+2ABE0)	f0aaafa0
𪯡	U+2ABE1 (U+2ABE1)	f0aaafa1
𪯢	U+2ABE2 (U+2ABE2)	f0aaafa2
𪯣	U+2ABE3 (U+2ABE3)	f0aaafa3
𪯤	U+2ABE4 (U+2ABE4)	f0aaafa4
𪯥	U+2ABE5 (U+2ABE5)	f0aaafa5
𪯦	U+2ABE6 (U+2ABE6)	f0aaafa6
