𪾘	U+2AF98 (U+2AF98)	f0aabe98
𪾙	U+2AF99 (U+2AF99)	f0aabe99
𪾚	U+2AF9A (U+2AF9A)	f0aabe9a
𪾛	U+2AF9B (U+2AF9B)	f0aabe9b
𪾜	U+2AF9C (U+2AF9C)	f0aabe9c
𪾝	U+2AF9D (U+2AF9D)	f0aabe9d
𪾞	U+2AF9E (U+2AF9E)	f0aabe9e
𪾟	U+2AF9F (U+2AF9F)	f0aabe9f
𪾠	U+2AFA0 (U+2AFA0)	f0aabea0
𪾡	U+2AFA1 (U+2AFA1)	f0aabea1
𪾢	to look at fearfully; overly cautious (U+2AFA2)	f0aabea2
𪾣	U+2AFA3 (U+2AFA3)	f0aabea3
𪾤	U+2AFA4 (U+2AFA4)	f0aabea4
𪾥	U+2AFA5 (U+2AFA5)	f0aabea5
𪾦	U+2AFA6 (U+2AFA6)	f0aabea6
𪾧	U+2AFA7 (U+2AFA7)	f0aabea7
𪾨	U+2AFA8 (U+2AFA8)	f0aabea8
𪾩	U+2AFA9 (U+2AFA9)	f0aabea9
𪾪	U+2AFAA (U+2AFAA)	f0aabeaa
𪾫	U+2AFAB (U+2AFAB)	f0aabeab
𪾬	U+2AFAC (U+2AFAC)	f0aabeac
𪾭	U+2AFAD (U+2AFAD)	f0aabead
𪾮	U+2AFAE (U+2AFAE)	f0aabeae
𪾯	U+2AFAF (U+2AFAF)	f0aabeaf
𪾰	U+2AFB0 (U+2AFB0)	f0aabeb0
𪾱	U+2AFB1 (U+2AFB1)	f0aabeb1
𪾲	U+2AFB2 (U+2AFB2)	f0aabeb2
𪾳	U+2AFB3 (U+2AFB3)	f0aabeb3
𪾴	U+2AFB4 (U+2AFB4)	f0aabeb4
𪾵	U+2AFB5 (U+2AFB5)	f0aabeb5
𪾶	U+2AFB6 (U+2AFB6)	f0aabeb6
𪾷	U+2AFB7 (U+2AFB7)	f0aabeb7
𪾸	U+2AFB8 (U+2AFB8)	f0aabeb8
𪾹	U+2AFB9 (U+2AFB9)	f0aabeb9
𪾺	U+2AFBA (U+2AFBA)	f0aabeba
𪾻	U+2AFBB (U+2AFBB)	f0aabebb
𪾼	U+2AFBC (U+2AFBC)	f0aabebc
𪾽	U+2AFBD (U+2AFBD)	f0aabebd
𪾾	U+2AFBE (U+2AFBE)	f0aabebe
𪾿	U+2AFBF (U+2AFBF)	f0aabebf
𪿀	U+2AFC0 (U+2AFC0)	f0aabf80
𪿁	U+2AFC1 (U+2AFC1)	f0aabf81
𪿂	U+2AFC2 (U+2AFC2)	f0aabf82
𪿃	U+2AFC3 (U+2AFC3)	f0aabf83
𪿄	U+2AFC4 (U+2AFC4)	f0aabf84
𪿅	U+2AFC5 (U+2AFC5)	f0aabf85
𪿆	U+2AFC6 (U+2AFC6)	f0aabf86
𪿇	U+2AFC7 (U+2AFC7)	f0aabf87
𪿈	U+2AFC8 (U+2AFC8)	f0aabf88
𪿉	U+2AFC9 (U+2AFC9)	f0aabf89
𪿊	U+2AFCA (U+2AFCA)	f0aabf8a
𪿋	U+2AFCB (U+2AFCB)	f0aabf8b
𪿌	U+2AFCC (U+2AFCC)	f0aabf8c
𪿍	U+2AFCD (U+2AFCD)	f0aabf8d
𪿎	U+2AFCE (U+2AFCE)	f0aabf8e
𪿏	U+2AFCF (U+2AFCF)	f0aabf8f
𪿐	U+2AFD0 (U+2AFD0)	f0aabf90
𪿑	U+2AFD1 (U+2AFD1)	f0aabf91
𪿒	U+2AFD2 (U+2AFD2)	f0aabf92
𪿓	U+2AFD3 (U+2AFD3)	f0aabf93
𪿔	U+2AFD4 (U+2AFD4)	f0aabf94
𪿕	U+2AFD5 (U+2AFD5)	f0aabf95
𪿖	U+2AFD6 (U+2AFD6)	f0aabf96
𪿗	U+2AFD7 (U+2AFD7)	f0aabf97
𪿘	U+2AFD8 (U+2AFD8)	f0aabf98
𪿙	U+2AFD9 (U+2AFD9)	f0aabf99
𪿚	U+2AFDA (U+2AFDA)	f0aabf9a
𪿛	U+2AFDB (U+2AFDB)	f0aabf9b
𪿜	U+2AFDC (U+2AFDC)	f0aabf9c
𪿝	U+2AFDD (U+2AFDD)	f0aabf9d
𪿞	U+2AFDE (U+2AFDE)	f0aabf9e
𪿟	U+2AFDF (U+2AFDF)	f0aabf9f
𪿠	U+2AFE0 (U+2AFE0)	f0aabfa0
𪿡	U+2AFE1 (U+2AFE1)	f0aabfa1
𪿢	U+2AFE2 (U+2AFE2)	f0aabfa2
𪿣	U+2AFE3 (U+2AFE3)	f0aabfa3
𪿤	U+2AFE4 (U+2AFE4)	f0aabfa4
𪿥	U+2AFE5 (U+2AFE5)	f0aabfa5
𪿦	U+2AFE6 (U+2AFE6)	f0aabfa6
𪿧	U+2AFE7 (U+2AFE7)	f0aabfa7
𪿨	U+2AFE8 (U+2AFE8)	f0aabfa8
𪿩	U+2AFE9 (U+2AFE9)	f0aabfa9
𪿪	U+2AFEA (U+2AFEA)	f0aabfaa
𪿫	U+2AFEB (U+2AFEB)	f0aabfab
𪿬	U+2AFEC (U+2AFEC)	f0aabfac
𪿭	U+2AFED (U+2AFED)	f0aabfad
𪿮	U+2AFEE (U+2AFEE)	f0aabfae
𪿯	U+2AFEF (U+2AFEF)	f0aabfaf
𪿰	U+2AFF0 (U+2AFF0)	f0aabfb0
𪿱	U+2AFF1 (U+2AFF1)	f0aabfb1
