𫎘	U+2B398 (U+2B398)	f0ab8e98
𫎙	U+2B399 (U+2B399)	f0ab8e99
𫎚	U+2B39A (U+2B39A)	f0ab8e9a
𫎛	U+2B39B (U+2B39B)	f0ab8e9b
𫎜	U+2B39C (U+2B39C)	f0ab8e9c
𫎝	U+2B39D (U+2B39D)	f0ab8e9d
𫎞	U+2B39E (U+2B39E)	f0ab8e9e
𫎟	U+2B39F (U+2B39F)	f0ab8e9f
𫎠	U+2B3A0 (U+2B3A0)	f0ab8ea0
𫎡	U+2B3A1 (U+2B3A1)	f0ab8ea1
𫎢	U+2B3A2 (U+2B3A2)	f0ab8ea2
𫎣	U+2B3A3 (U+2B3A3)	f0ab8ea3
𫎤	U+2B3A4 (U+2B3A4)	f0ab8ea4
𫎥	U+2B3A5 (U+2B3A5)	f0ab8ea5
𫎦	U+2B3A6 (U+2B3A6)	f0ab8ea6
𫎧	U+2B3A7 (U+2B3A7)	f0ab8ea7
𫎨	U+2B3A8 (U+2B3A8)	f0ab8ea8
𫎩	U+2B3A9 (U+2B3A9)	f0ab8ea9
𫎪	U+2B3AA (U+2B3AA)	f0ab8eaa
𫎫	U+2B3AB (U+2B3AB)	f0ab8eab
𫎬	U+2B3AC (U+2B3AC)	f0ab8eac
𫎭	U+2B3AD (U+2B3AD)	f0ab8ead
𫎮	U+2B3AE (U+2B3AE)	f0ab8eae
𫎯	U+2B3AF (U+2B3AF)	f0ab8eaf
𫎰	U+2B3B0 (U+2B3B0)	f0ab8eb0
𫎱	U+2B3B1 (U+2B3B1)	f0ab8eb1
𫎲	U+2B3B2 (U+2B3B2)	f0ab8eb2
𫎳	U+2B3B3 (U+2B3B3)	f0ab8eb3
𫎴	U+2B3B4 (U+2B3B4)	f0ab8eb4
𫎵	U+2B3B5 (U+2B3B5)	f0ab8eb5
𫎶	U+2B3B6 (U+2B3B6)	f0ab8eb6
𫎷	U+2B3B7 (U+2B3B7)	f0ab8eb7
𫎸	U+2B3B8 (U+2B3B8)	f0ab8eb8
𫎹	U+2B3B9 (U+2B3B9)	f0ab8eb9
𫎺	U+2B3BA (U+2B3BA)	f0ab8eba
𫎻	U+2B3BB (U+2B3BB)	f0ab8ebb
𫎼	U+2B3BC (U+2B3BC)	f0ab8ebc
𫎽	U+2B3BD (U+2B3BD)	f0ab8ebd
𫎾	U+2B3BE (U+2B3BE)	f0ab8ebe
𫎿	U+2B3BF (U+2B3BF)	f0ab8ebf
𫏀	U+2B3C0 (U+2B3C0)	f0ab8f80
𫏁	U+2B3C1 (U+2B3C1)	f0ab8f81
𫏂	U+2B3C2 (U+2B3C2)	f0ab8f82
𫏃	U+2B3C3 (U+2B3C3)	f0ab8f83
𫏄	U+2B3C4 (U+2B3C4)	f0ab8f84
𫏅	U+2B3C5 (U+2B3C5)	f0ab8f85
𫏆	U+2B3C6 (U+2B3C6)	f0ab8f86
𫏇	U+2B3C7 (U+2B3C7)	f0ab8f87
𫏈	U+2B3C8 (U+2B3C8)	f0ab8f88
𫏉	U+2B3C9 (U+2B3C9)	f0ab8f89
𫏊	U+2B3CA (U+2B3CA)	f0ab8f8a
𫏋	to raise the feet; to cross the legs; brave; sandals (U+2B3CB)	f0ab8f8b
𫏌	U+2B3CC (U+2B3CC)	f0ab8f8c
𫏍	U+2B3CD (U+2B3CD)	f0ab8f8d
𫏎	U+2B3CE (U+2B3CE)	f0ab8f8e
𫏏	U+2B3CF (U+2B3CF)	f0ab8f8f
𫏐	U+2B3D0 (U+2B3D0)	f0ab8f90
𫏑	U+2B3D1 (U+2B3D1)	f0ab8f91
𫏒	U+2B3D2 (U+2B3D2)	f0ab8f92
𫏓	U+2B3D3 (U+2B3D3)	f0ab8f93
𫏔	U+2B3D4 (U+2B3D4)	f0ab8f94
𫏕	U+2B3D5 (U+2B3D5)	f0ab8f95
𫏖	U+2B3D6 (U+2B3D6)	f0ab8f96
𫏗	U+2B3D7 (U+2B3D7)	f0ab8f97
𫏘	U+2B3D8 (U+2B3D8)	f0ab8f98
𫏙	U+2B3D9 (U+2B3D9)	f0ab8f99
𫏚	U+2B3DA (U+2B3DA)	f0ab8f9a
𫏛	U+2B3DB (U+2B3DB)	f0ab8f9b
𫏜	U+2B3DC (U+2B3DC)	f0ab8f9c
𫏝	U+2B3DD (U+2B3DD)	f0ab8f9d
𫏞	U+2B3DE (U+2B3DE)	f0ab8f9e
𫏟	U+2B3DF (U+2B3DF)	f0ab8f9f
𫏠	U+2B3E0 (U+2B3E0)	f0ab8fa0
𫏡	U+2B3E1 (U+2B3E1)	f0ab8fa1
𫏢	U+2B3E2 (U+2B3E2)	f0ab8fa2
𫏣	U+2B3E3 (U+2B3E3)	f0ab8fa3
𫏤	U+2B3E4 (U+2B3E4)	f0ab8fa4
𫏥	U+2B3E5 (U+2B3E5)	f0ab8fa5
𫏦	U+2B3E6 (U+2B3E6)	f0ab8fa6
𫏧	U+2B3E7 (U+2B3E7)	f0ab8fa7
𫏨	U+2B3E8 (U+2B3E8)	f0ab8fa8
𫏩	U+2B3E9 (U+2B3E9)	f0ab8fa9
𫏪	U+2B3EA (U+2B3EA)	f0ab8faa
𫏫	U+2B3EB (U+2B3EB)	f0ab8fab
𫏬	U+2B3EC (U+2B3EC)	f0ab8fac
𫏭	U+2B3ED (U+2B3ED)	f0ab8fad
𫏮	U+2B3EE (U+2B3EE)	f0ab8fae
𫏯	U+2B3EF (U+2B3EF)	f0ab8faf
𫏰	U+2B3F0 (U+2B3F0)	f0ab8fb0
𫏱	U+2B3F1 (U+2B3F1)	f0ab8fb1
𫏲	U+2B3F2 (U+2B3F2)	f0ab8fb2
𫏳	U+2B3F3 (U+2B3F3)	f0ab8fb3
𫏴	U+2B3F4 (U+2B3F4)	f0ab8fb4
𫏵	U+2B3F5 (U+2B3F5)	f0ab8fb5
𫏶	U+2B3F6 (U+2B3F6)	f0ab8fb6
𫏷	U+2B3F7 (U+2B3F7)	f0ab8fb7
𫏸	U+2B3F8 (U+2B3F8)	f0ab8fb8
𫏹	U+2B3F9 (U+2B3F9)	f0ab8fb9
𫏺	U+2B3FA (U+2B3FA)	f0ab8fba
𫏻	U+2B3FB (U+2B3FB)	f0ab8fbb
𫏼	U+2B3FC (U+2B3FC)	f0ab8fbc
𫏽	U+2B3FD (U+2B3FD)	f0ab8fbd
𫏾	U+2B3FE (U+2B3FE)	f0ab8fbe
𫏿	U+2B3FF (U+2B3FF)	f0ab8fbf
𫐀	U+2B400 (U+2B400)	f0ab9080
𫐁	U+2B401 (U+2B401)	f0ab9081
𫐂	U+2B402 (U+2B402)	f0ab9082
𫐃	U+2B403 (U+2B403)	f0ab9083
𫐄	cross-bar at the end of the poles of a cart (U+2B404)	f0ab9084
𫐅	U+2B405 (U+2B405)	f0ab9085
𫐆	to gallop; a mule (U+2B406)	f0ab9086
𫐇	U+2B407 (U+2B407)	f0ab9087
𫐈	U+2B408 (U+2B408)	f0ab9088
𫐉	wooden cross-piece on front inside of carriage box (U+2B409)	f0ab9089
𫐊	U+2B40A (U+2B40A)	f0ab908a
𫐋	U+2B40B (U+2B40B)	f0ab908b
𫐌	U+2B40C (U+2B40C)	f0ab908c
𫐍	U+2B40D (U+2B40D)	f0ab908d
𫐎	U+2B40E (U+2B40E)	f0ab908e
𫐏	U+2B40F (U+2B40F)	f0ab908f
𫐐	the cross-bar at the end of a carriage pole; linchpin of a large carriage (U+2B410)	f0ab9090
𫐑	U+2B411 (U+2B411)	f0ab9091
𫐒	U+2B412 (U+2B412)	f0ab9092
𫐓	outer rim of a wheel, felly (U+2B413)	f0ab9093
𫐔	U+2B414 (U+2B414)	f0ab9094
