𫞣	U+2B7A3 (U+2B7A3)	f0ab9ea3
𫞤	U+2B7A4 (U+2B7A4)	f0ab9ea4
𫞥	U+2B7A5 (U+2B7A5)	f0ab9ea5
𫞦	U+2B7A6 (U+2B7A6)	f0ab9ea6
𫞧	U+2B7A7 (U+2B7A7)	f0ab9ea7
𫞨	U+2B7A8 (U+2B7A8)	f0ab9ea8
𫞩	U+2B7A9 (U+2B7A9)	f0ab9ea9
𫞪	U+2B7AA (U+2B7AA)	f0ab9eaa
𫞫	U+2B7AB (U+2B7AB)	f0ab9eab
𫞬	U+2B7AC (U+2B7AC)	f0ab9eac
𫞭	U+2B7AD (U+2B7AD)	f0ab9ead
𫞮	U+2B7AE (U+2B7AE)	f0ab9eae
𫞯	U+2B7AF (U+2B7AF)	f0ab9eaf
𫞰	U+2B7B0 (U+2B7B0)	f0ab9eb0
𫞱	U+2B7B1 (U+2B7B1)	f0ab9eb1
𫞲	U+2B7B2 (U+2B7B2)	f0ab9eb2
𫞳	U+2B7B3 (U+2B7B3)	f0ab9eb3
𫞴	U+2B7B4 (U+2B7B4)	f0ab9eb4
𫞵	U+2B7B5 (U+2B7B5)	f0ab9eb5
𫞶	U+2B7B6 (U+2B7B6)	f0ab9eb6
𫞷	U+2B7B7 (U+2B7B7)	f0ab9eb7
𫞸	U+2B7B8 (U+2B7B8)	f0ab9eb8
𫞹	U+2B7B9 (U+2B7B9)	f0ab9eb9
𫞺	U+2B7BA (U+2B7BA)	f0ab9eba
𫞻	U+2B7BB (U+2B7BB)	f0ab9ebb
𫞼	U+2B7BC (U+2B7BC)	f0ab9ebc
𫞽	U+2B7BD (U+2B7BD)	f0ab9ebd
𫞾	U+2B7BE (U+2B7BE)	f0ab9ebe
𫞿	U+2B7BF (U+2B7BF)	f0ab9ebf
𫟀	U+2B7C0 (U+2B7C0)	f0ab9f80
𫟁	U+2B7C1 (U+2B7C1)	f0ab9f81
𫟂	U+2B7C2 (U+2B7C2)	f0ab9f82
𫟃	U+2B7C3 (U+2B7C3)	f0ab9f83
𫟄	U+2B7C4 (U+2B7C4)	f0ab9f84
𫟅	U+2B7C5 (U+2B7C5)	f0ab9f85
𫟆	U+2B7C6 (U+2B7C6)	f0ab9f86
𫟇	U+2B7C7 (U+2B7C7)	f0ab9f87
𫟈	U+2B7C8 (U+2B7C8)	f0ab9f88
𫟉	U+2B7C9 (U+2B7C9)	f0ab9f89
𫟊	U+2B7CA (U+2B7CA)	f0ab9f8a
𫟋	U+2B7CB (U+2B7CB)	f0ab9f8b
𫟌	U+2B7CC (U+2B7CC)	f0ab9f8c
𫟍	U+2B7CD (U+2B7CD)	f0ab9f8d
𫟎	U+2B7CE (U+2B7CE)	f0ab9f8e
𫟏	U+2B7CF (U+2B7CF)	f0ab9f8f
𫟐	U+2B7D0 (U+2B7D0)	f0ab9f90
𫟑	U+2B7D1 (U+2B7D1)	f0ab9f91
𫟒	U+2B7D2 (U+2B7D2)	f0ab9f92
𫟓	U+2B7D3 (U+2B7D3)	f0ab9f93
𫟔	U+2B7D4 (U+2B7D4)	f0ab9f94
𫟕	U+2B7D5 (U+2B7D5)	f0ab9f95
𫟖	U+2B7D6 (U+2B7D6)	f0ab9f96
𫟗	U+2B7D7 (U+2B7D7)	f0ab9f97
𫟘	U+2B7D8 (U+2B7D8)	f0ab9f98
𫟙	U+2B7D9 (U+2B7D9)	f0ab9f99
𫟚	U+2B7DA (U+2B7DA)	f0ab9f9a
𫟛	U+2B7DB (U+2B7DB)	f0ab9f9b
𫟜	U+2B7DC (U+2B7DC)	f0ab9f9c
𫟝	U+2B7DD (U+2B7DD)	f0ab9f9d
𫟞	U+2B7DE (U+2B7DE)	f0ab9f9e
𫟟	U+2B7DF (U+2B7DF)	f0ab9f9f
𫟠	U+2B7E0 (U+2B7E0)	f0ab9fa0
𫟡	U+2B7E1 (U+2B7E1)	f0ab9fa1
𫟢	U+2B7E2 (U+2B7E2)	f0ab9fa2
𫟣	U+2B7E3 (U+2B7E3)	f0ab9fa3
𫟤	U+2B7E4 (U+2B7E4)	f0ab9fa4
𫟥	U+2B7E5 (U+2B7E5)	f0ab9fa5
𫟦	U+2B7E6 (U+2B7E6)	f0ab9fa6
𫟧	U+2B7E7 (U+2B7E7)	f0ab9fa7
𫟨	U+2B7E8 (U+2B7E8)	f0ab9fa8
𫟩	U+2B7E9 (U+2B7E9)	f0ab9fa9
𫟪	U+2B7EA (U+2B7EA)	f0ab9faa
𫟫	U+2B7EB (U+2B7EB)	f0ab9fab
𫟬	U+2B7EC (U+2B7EC)	f0ab9fac
𫟭	U+2B7ED (U+2B7ED)	f0ab9fad
𫟮	U+2B7EE (U+2B7EE)	f0ab9fae
𫟯	U+2B7EF (U+2B7EF)	f0ab9faf
𫟰	U+2B7F0 (U+2B7F0)	f0ab9fb0
𫟱	U+2B7F1 (U+2B7F1)	f0ab9fb1
𫟲	U+2B7F2 (U+2B7F2)	f0ab9fb2
𫟳	U+2B7F3 (U+2B7F3)	f0ab9fb3
𫟴	U+2B7F4 (U+2B7F4)	f0ab9fb4
𫟵	U+2B7F5 (U+2B7F5)	f0ab9fb5
𫟶	U+2B7F6 (U+2B7F6)	f0ab9fb6
𫟷	U+2B7F7 (U+2B7F7)	f0ab9fb7
𫟸	U+2B7F8 (U+2B7F8)	f0ab9fb8
𫟹	U+2B7F9 (U+2B7F9)	f0ab9fb9
𫟺	U+2B7FA (U+2B7FA)	f0ab9fba
𫟻	U+2B7FB (U+2B7FB)	f0ab9fbb
𫟼	U+2B7FC (U+2B7FC)	f0ab9fbc
𫟽	U+2B7FD (U+2B7FD)	f0ab9fbd
𫟾	U+2B7FE (U+2B7FE)	f0ab9fbe
𫟿	U+2B7FF (U+2B7FF)	f0ab9fbf
𫠀	U+2B800 (U+2B800)	f0aba080
𫠁	U+2B801 (U+2B801)	f0aba081
𫠂	U+2B802 (U+2B802)	f0aba082
𫠃	U+2B803 (U+2B803)	f0aba083
𫠄	U+2B804 (U+2B804)	f0aba084
𫠅	U+2B805 (U+2B805)	f0aba085
𫠆	U+2B806 (U+2B806)	f0aba086
𫠇	U+2B807 (U+2B807)	f0aba087
𫠈	U+2B808 (U+2B808)	f0aba088
𫠉	U+2B809 (U+2B809)	f0aba089
𫠊	U+2B80A (U+2B80A)	f0aba08a
𫠋	U+2B80B (U+2B80B)	f0aba08b
𫠌	U+2B80C (U+2B80C)	f0aba08c
𫠍	U+2B80D (U+2B80D)	f0aba08d
𫠎	U+2B80E (U+2B80E)	f0aba08e
𫠏	U+2B80F (U+2B80F)	f0aba08f
𫠐	U+2B810 (U+2B810)	f0aba090
𫠑	U+2B811 (U+2B811)	f0aba091
𫠒	U+2B812 (U+2B812)	f0aba092
𫠓	U+2B813 (U+2B813)	f0aba093
𫠔	U+2B814 (U+2B814)	f0aba094
𫠕	U+2B815 (U+2B815)	f0aba095
𫠖	U+2B816 (U+2B816)	f0aba096
𫠗	U+2B817 (U+2B817)	f0aba097
𫠘	U+2B818 (U+2B818)	f0aba098
𫠙	U+2B819 (U+2B819)	f0aba099
𫠚	U+2B81A (U+2B81A)	f0aba09a
𫠛	U+2B81B (U+2B81B)	f0aba09b
𫠜	U+2B81C (U+2B81C)	f0aba09c
𫠝	<CJK Ideograph Extension D, Last> (U+2B81D)	f0aba09d
丽	CJK COMPATIBILITY IDEOGRAPH-2F800 (U+2F800)	f0afa080
丸	CJK COMPATIBILITY IDEOGRAPH-2F801 (U+2F801)	f0afa081
乁	CJK COMPATIBILITY IDEOGRAPH-2F802 (U+2F802)	f0afa082
𠄢	CJK COMPATIBILITY IDEOGRAPH-2F803 (U+2F803)	f0afa083
你	CJK COMPATIBILITY IDEOGRAPH-2F804 (U+2F804)	f0afa084
侮	CJK COMPATIBILITY IDEOGRAPH-2F805 (U+2F805)	f0afa085
侻	CJK COMPATIBILITY IDEOGRAPH-2F806 (U+2F806)	f0afa086
倂	CJK COMPATIBILITY IDEOGRAPH-2F807 (U+2F807)	f0afa087
偺	CJK COMPATIBILITY IDEOGRAPH-2F808 (U+2F808)	f0afa088
備	CJK COMPATIBILITY IDEOGRAPH-2F809 (U+2F809)	f0afa089
僧	CJK COMPATIBILITY IDEOGRAPH-2F80A (U+2F80A)	f0afa08a
像	CJK COMPATIBILITY IDEOGRAPH-2F80B (U+2F80B)	f0afa08b
㒞	CJK COMPATIBILITY IDEOGRAPH-2F80C (U+2F80C)	f0afa08c
𠘺	CJK COMPATIBILITY IDEOGRAPH-2F80D (U+2F80D)	f0afa08d
免	CJK COMPATIBILITY IDEOGRAPH-2F80E (U+2F80E)	f0afa08e
兔	CJK COMPATIBILITY IDEOGRAPH-2F80F (U+2F80F)	f0afa08f
兤	CJK COMPATIBILITY IDEOGRAPH-2F810 (U+2F810)	f0afa090
具	CJK COMPATIBILITY IDEOGRAPH-2F811 (U+2F811)	f0afa091
𠔜	CJK COMPATIBILITY IDEOGRAPH-2F812 (U+2F812)	f0afa092
㒹	CJK COMPATIBILITY IDEOGRAPH-2F813 (U+2F813)	f0afa093
內	CJK COMPATIBILITY IDEOGRAPH-2F814 (U+2F814)	f0afa094
再	CJK COMPATIBILITY IDEOGRAPH-2F815 (U+2F815)	f0afa095
𠕋	CJK COMPATIBILITY IDEOGRAPH-2F816 (U+2F816)	f0afa096
冗	CJK COMPATIBILITY IDEOGRAPH-2F817 (U+2F817)	f0afa097
冤	CJK COMPATIBILITY IDEOGRAPH-2F818 (U+2F818)	f0afa098
仌	CJK COMPATIBILITY IDEOGRAPH-2F819 (U+2F819)	f0afa099
冬	CJK COMPATIBILITY IDEOGRAPH-2F81A (U+2F81A)	f0afa09a
况	CJK COMPATIBILITY IDEOGRAPH-2F81B (U+2F81B)	f0afa09b
𩇟	CJK COMPATIBILITY IDEOGRAPH-2F81C (U+2F81C)	f0afa09c
凵	CJK COMPATIBILITY IDEOGRAPH-2F81D (U+2F81D)	f0afa09d
刃	CJK COMPATIBILITY IDEOGRAPH-2F81E (U+2F81E)	f0afa09e
㓟	CJK COMPATIBILITY IDEOGRAPH-2F81F (U+2F81F)	f0afa09f
刻	CJK COMPATIBILITY IDEOGRAPH-2F820 (U+2F820)	f0afa0a0
剆	CJK COMPATIBILITY IDEOGRAPH-2F821 (U+2F821)	f0afa0a1
割	CJK COMPATIBILITY IDEOGRAPH-2F822 (U+2F822)	f0afa0a2
剷	CJK COMPATIBILITY IDEOGRAPH-2F823 (U+2F823)	f0afa0a3
㔕	CJK COMPATIBILITY IDEOGRAPH-2F824 (U+2F824)	f0afa0a4
勇	CJK COMPATIBILITY IDEOGRAPH-2F825 (U+2F825)	f0afa0a5
勉	CJK COMPATIBILITY IDEOGRAPH-2F826 (U+2F826)	f0afa0a6
勤	CJK COMPATIBILITY IDEOGRAPH-2F827 (U+2F827)	f0afa0a7
勺	CJK COMPATIBILITY IDEOGRAPH-2F828 (U+2F828)	f0afa0a8
包	CJK COMPATIBILITY IDEOGRAPH-2F829 (U+2F829)	f0afa0a9
匆	CJK COMPATIBILITY IDEOGRAPH-2F82A (U+2F82A)	f0afa0aa
北	CJK COMPATIBILITY IDEOGRAPH-2F82B (U+2F82B)	f0afa0ab
卉	CJK COMPATIBILITY IDEOGRAPH-2F82C (U+2F82C)	f0afa0ac
卑	CJK COMPATIBILITY IDEOGRAPH-2F82D (U+2F82D)	f0afa0ad
博	CJK COMPATIBILITY IDEOGRAPH-2F82E (U+2F82E)	f0afa0ae
即	CJK COMPATIBILITY IDEOGRAPH-2F82F (U+2F82F)	f0afa0af
卽	CJK COMPATIBILITY IDEOGRAPH-2F830 (U+2F830)	f0afa0b0
卿	CJK COMPATIBILITY IDEOGRAPH-2F831 (U+2F831)	f0afa0b1
卿	CJK COMPATIBILITY IDEOGRAPH-2F832 (U+2F832)	f0afa0b2
卿	CJK COMPATIBILITY IDEOGRAPH-2F833 (U+2F833)	f0afa0b3
𠨬	CJK COMPATIBILITY IDEOGRAPH-2F834 (U+2F834)	f0afa0b4
灰	CJK COMPATIBILITY IDEOGRAPH-2F835 (U+2F835)	f0afa0b5
及	CJK COMPATIBILITY IDEOGRAPH-2F836 (U+2F836)	f0afa0b6
叟	CJK COMPATIBILITY IDEOGRAPH-2F837 (U+2F837)	f0afa0b7
𠭣	CJK COMPATIBILITY IDEOGRAPH-2F838 (U+2F838)	f0afa0b8
叫	CJK COMPATIBILITY IDEOGRAPH-2F839 (U+2F839)	f0afa0b9
叱	CJK COMPATIBILITY IDEOGRAPH-2F83A (U+2F83A)	f0afa0ba
吆	CJK COMPATIBILITY IDEOGRAPH-2F83B (U+2F83B)	f0afa0bb
咞	CJK COMPATIBILITY IDEOGRAPH-2F83C (U+2F83C)	f0afa0bc
吸	CJK COMPATIBILITY IDEOGRAPH-2F83D (U+2F83D)	f0afa0bd
呈	CJK COMPATIBILITY IDEOGRAPH-2F83E (U+2F83E)	f0afa0be
周	CJK COMPATIBILITY IDEOGRAPH-2F83F (U+2F83F)	f0afa0bf
咢	CJK COMPATIBILITY IDEOGRAPH-2F840 (U+2F840)	f0afa180
哶	CJK COMPATIBILITY IDEOGRAPH-2F841 (U+2F841)	f0afa181
唐	CJK COMPATIBILITY IDEOGRAPH-2F842 (U+2F842)	f0afa182
啓	CJK COMPATIBILITY IDEOGRAPH-2F843 (U+2F843)	f0afa183
啣	CJK COMPATIBILITY IDEOGRAPH-2F844 (U+2F844)	f0afa184
善	CJK COMPATIBILITY IDEOGRAPH-2F845 (U+2F845)	f0afa185
善	CJK COMPATIBILITY IDEOGRAPH-2F846 (U+2F846)	f0afa186
喙	CJK COMPATIBILITY IDEOGRAPH-2F847 (U+2F847)	f0afa187
喫	CJK COMPATIBILITY IDEOGRAPH-2F848 (U+2F848)	f0afa188
喳	CJK COMPATIBILITY IDEOGRAPH-2F849 (U+2F849)	f0afa189
嗂	CJK COMPATIBILITY IDEOGRAPH-2F84A (U+2F84A)	f0afa18a
圖	CJK COMPATIBILITY IDEOGRAPH-2F84B (U+2F84B)	f0afa18b
嘆	CJK COMPATIBILITY IDEOGRAPH-2F84C (U+2F84C)	f0afa18c
圗	CJK COMPATIBILITY IDEOGRAPH-2F84D (U+2F84D)	f0afa18d
噑	CJK COMPATIBILITY IDEOGRAPH-2F84E (U+2F84E)	f0afa18e
噴	CJK COMPATIBILITY IDEOGRAPH-2F84F (U+2F84F)	f0afa18f
切	CJK COMPATIBILITY IDEOGRAPH-2F850 (U+2F850)	f0afa190
壮	CJK COMPATIBILITY IDEOGRAPH-2F851 (U+2F851)	f0afa191
城	CJK COMPATIBILITY IDEOGRAPH-2F852 (U+2F852)	f0afa192
埴	CJK COMPATIBILITY IDEOGRAPH-2F853 (U+2F853)	f0afa193
堍	CJK COMPATIBILITY IDEOGRAPH-2F854 (U+2F854)	f0afa194
型	CJK COMPATIBILITY IDEOGRAPH-2F855 (U+2F855)	f0afa195
堲	CJK COMPATIBILITY IDEOGRAPH-2F856 (U+2F856)	f0afa196
報	CJK COMPATIBILITY IDEOGRAPH-2F857 (U+2F857)	f0afa197
墬	CJK COMPATIBILITY IDEOGRAPH-2F858 (U+2F858)	f0afa198
𡓤	CJK COMPATIBILITY IDEOGRAPH-2F859 (U+2F859)	f0afa199
売	CJK COMPATIBILITY IDEOGRAPH-2F85A (U+2F85A)	f0afa19a
壷	CJK COMPATIBILITY IDEOGRAPH-2F85B (U+2F85B)	f0afa19b
夆	CJK COMPATIBILITY IDEOGRAPH-2F85C (U+2F85C)	f0afa19c
多	CJK COMPATIBILITY IDEOGRAPH-2F85D (U+2F85D)	f0afa19d
夢	CJK COMPATIBILITY IDEOGRAPH-2F85E (U+2F85E)	f0afa19e
奢	CJK COMPATIBILITY IDEOGRAPH-2F85F (U+2F85F)	f0afa19f
𡚨	CJK COMPATIBILITY IDEOGRAPH-2F860 (U+2F860)	f0afa1a0
𡛪	CJK COMPATIBILITY IDEOGRAPH-2F861 (U+2F861)	f0afa1a1
姬	CJK COMPATIBILITY IDEOGRAPH-2F862 (U+2F862)	f0afa1a2
娛	CJK COMPATIBILITY IDEOGRAPH-2F863 (U+2F863)	f0afa1a3
娧	CJK COMPATIBILITY IDEOGRAPH-2F864 (U+2F864)	f0afa1a4
姘	CJK COMPATIBILITY IDEOGRAPH-2F865 (U+2F865)	f0afa1a5
婦	CJK COMPATIBILITY IDEOGRAPH-2F866 (U+2F866)	f0afa1a6
㛮	CJK COMPATIBILITY IDEOGRAPH-2F867 (U+2F867)	f0afa1a7
㛼	CJK COMPATIBILITY IDEOGRAPH-2F868 (U+2F868)	f0afa1a8
嬈	CJK COMPATIBILITY IDEOGRAPH-2F869 (U+2F869)	f0afa1a9
嬾	CJK COMPATIBILITY IDEOGRAPH-2F86A (U+2F86A)	f0afa1aa
